author,comment,published_at
@EllaSariRahmawati,Om buat sitkom khusus keluarga vidi yang lucu lucu hahaha,2025-05-01T02:03:39Z
@EllaSariRahmawati,Pliis mereka ajah lucu b 4,2025-05-01T01:32:49Z
@raine_nl2364,"Suka aq kalau dua kakak adek ini di satuin 😂, di tambah Adi lagi, makin lucu lucu 🤣. Bisa deh om mereka berdua di undang lg, kali ini dengan Kiky/Diva 🤭",2025-05-01T01:28:27Z
@hartatiinoue4432,Temukan Azka dan eca dong,2025-05-01T00:40:52Z
@SantiFitria2906,Kaya nya harus undang Diva dehh mau liat,2025-05-01T00:36:20Z
@marettadewi4417,"51:48 sooo lovely la ,,sayang bgt sama adek❤❤",2025-05-01T00:27:31Z
@rizchannel5665,Please podhub undang Walid,2025-05-01T00:00:18Z
@nitaayuningtias947,Om ded undang syahrini dong omm,2025-04-30T23:54:55Z
@DSMLT,"WATCH TIME 1 JAM, 500K VIEWS = KURLEB 70JT...

4M VIEWS = 560 JT. 

Saluuut gw sama lu ngebangun channel ini, om Ded... 
🎉👏👏👏👏",2025-04-30T23:44:33Z
@achmadsofian9499,Vidi vadi seruuu bgt,2025-04-30T23:39:32Z
@dararanteup,Ga relaaaaaaaaa 😭 tetep mau vidiiiiiii ❤,2025-04-30T18:45:35Z
@renaldasiswadi6022,"Disalah satu podcast, Sheila Dara mmg mengakui bhw dia cuek ke Vidi. Tindakan yg paling bucin yg pernah dilakukan Sheila thd Vidi adalah dg menikahi nya.",2025-04-30T18:25:07Z
@RickySetiaBudi-g3t,😂🎉😂🎉😂,2025-04-30T18:16:11Z
@desnanursamawati411,"Aku pikir diva adik nya vidi itu cwek..ternyata cwok😮..

Gak sabar om ded undang diva",2025-04-30T17:42:07Z
@eRu_TheCatCATH,"Om Ded,,gantinya kak Sheila,,undang Vadi aja,,penasaran selucu apa dia 😅",2025-04-30T17:06:26Z
@csbs-u8k,om dedy undang kembali jirayut dan mak'e (so'imah) pliiss aku dari thailand😇,2025-04-30T17:04:51Z
@Louisitom,Banci juga kah?,2025-04-30T16:39:08Z
@nianurniati4721,Dari awal sampe akhir.. salfok sama kak Vidi yg keliatan pucetttt banget... Tapi tetep powerfull vibes happynya.. 😢 kak Vidi semoga kakak sehat selalu ya kak.. Aaamin...🤲🙏yang lain juga semua sehat selalu ya Aaamin🤲🙏,2025-04-30T15:42:55Z
@saydiiegon8690,"ada yng sadar mic  ka vidi naik sendiri, pdahal ga kena tangan
menit 30.08😳",2025-04-30T15:39:17Z
@FebriyantAndi,kk adek neh luar biasaaaa,2025-04-30T15:30:40Z
@nikepuspitasari3235,"Terhibur sih sm vidi, vadi, adi n oom ded hehe",2025-04-30T15:16:41Z
@cintadhray1253,"mantengin angkat penonton
dlem 10mnit naik 2rb penonton🎉🎉🎉",2025-04-30T15:10:33Z
@yusyifaarrifah6053,Adeknya vidi ganteng ya,2025-04-30T15:02:15Z
@ayenimaryam0180,Vidi kurusan yah,2025-04-30T14:57:40Z
@firdaa1997,Om ded.. somasi mana????😢😢,2025-04-30T14:52:26Z
@firdaa1997,Om ded.. somasi mana????😢😢,2025-04-30T14:52:18Z
@calmdvwn,"omm, undang Kak Niky sama Kak Mario dari keluarga artis ituu",2025-04-30T14:38:17Z
@nadyanurul3923,diva om,2025-04-30T14:04:19Z
@auliafauziah9338,Adhi bagus bangett pembawaannya,2025-04-30T13:54:01Z
@muhammadindradi5419,"Adi di episode ini,lebih pecah si di bnding kmrin,tektokan nya cepet.sukses aja deh buat smua nya,trutama buat podhub🎉🎉🎉🎉🎉🎉",2025-04-30T13:47:12Z
@Ghazali3112,"seru bgt nihh kak vadi😂😂😂
podhub yang ku komen setelah arafah sama halda",2025-04-30T13:35:29Z
@arina0250,Kembaran paling seru dan gokil😂😂😂😂,2025-04-30T13:27:49Z
@nidniedh,Kurang Ijah gak siiiihh? Podhub bisa yuukkk undang Ijah sekalian 🤭🫶❤️,2025-04-30T13:09:04Z
